layer,similarity
0,0.9992718
1,0.9914826
2,0.97097117
3,0.96218485
4,0.9487258
5,0.92755914
6,0.9039478
7,0.8728783
8,0.841177
9,0.78933936
10,0.6925184
11,0.56450564
12,0.275102
