layer,similarity
0,0.99905103
1,0.99158615
2,0.9769135
3,0.9619216
4,0.93984324
5,0.89973193
6,0.86761063
7,0.8364253
8,0.80576086
9,0.75117356
10,0.7041238
11,0.65390664
12,0.4943802
